session_id,label,f1,f2,f3,f4,f5,roll,pitch,yaw,gx,gy,gz
pronoun1,We,166,210,0,0,19,9724,14160,380,-121,-1426,841
pronoun1,We,165,227,0,0,32,9456,13020,236,-283,636,618
pronoun1,We,169,222,0,0,0,9720,13700,792,-248,2238,899
pronoun1,We,161,224,0,0,0,9420,14308,1556,-794,4029,972
pronoun1,We,186,210,16,0,0,9272,13248,1976,1379,3923,1295
pronoun1,We,146,231,0,0,0,8636,12272,4232,1809,818,513
pronoun1,We,158,254,0,0,184,9588,14212,2060,-738,-829,-672
pronoun1,We,171,257,0,0,4,8676,13788,2816,-2090,-2166,-2071
pronoun1,We,176,258,0,0,0,8580,14524,2080,-1795,-3073,-2508
pronoun1,We,174,257,0,0,0,8060,14448,1216,-627,-3025,-2988
pronoun1,We,199,238,0,0,0,8168,15932,324,30,-643,-1449
pronoun1,We,214,234,25,0,0,7944,14772,548,-145,2327,492
pronoun1,We,205,242,0,0,0,7776,14692,716,542,4531,1397
pronoun1,We,213,231,0,0,0,7504,14384,2128,-243,5211,2239
pronoun1,We,154,203,0,0,0,7620,14320,3184,947,4449,2685
pronoun1,We,138,230,0,0,0,6488,11728,5064,345,933,278
pronoun1,We,237,240,0,0,0,8512,14048,3240,-1205,-1107,-608
pronoun1,We,210,226,0,0,0,7940,13528,3480,-1587,-1972,-1217
pronoun1,We,234,194,0,0,0,7544,13888,3008,-800,-2266,-1034
pronoun1,We,233,194,0,0,0,7340,14128,2664,-140,-3133,-1069
pronoun1,We,241,190,13,0,0,7460,14056,1908,289,-3064,-1081
pronoun1,We,268,198,36,0,0,7584,14948,1300,-241,-1508,-1009
pronoun1,We,269,207,54,0,0,7588,15316,1076,298,573,272
pronoun1,We,286,218,58,0,0,7528,15220,1240,-128,2372,1421
pronoun1,We,272,215,29,0,0,7352,14528,1780,69,4421,1313
pronoun1,We,269,199,36,0,0,6980,14536,3248,71,3925,1646
pronoun1,We,283,198,48,0,0,7380,14336,3524,709,2104,1502
pronoun1,We,304,221,32,0,0,7480,14032,4424,-364,-377,357
pronoun1,We,300,206,16,0,0,7360,13648,3948,-1660,-1804,-479
pronoun1,We,304,221,26,0,0,7592,13804,3316,-914,-4197,-458
pronoun1,We,317,231,22,0,0,7808,13788,2156,1188,-4285,-958
pronoun1,We,294,203,27,0,0,8196,15024,1476,610,-3266,-329
pronoun1,We,250,192,48,0,0,8356,14908,232,-345,-335,1484
pronoun1,We,258,191,41,0,0,8004,14872,944,-1076,2881,1562
pronoun1,We,266,211,16,0,0,7864,13820,1780,-1177,4343,1341
pronoun1,We,301,208,0,0,0,7992,14292,3024,-223,4159,1589
pronoun1,We,286,245,32,0,0,7380,13692,4076,-664,2681,1164
pronoun1,We,306,249,11,0,0,8400,14512,3400,-807,-411,-205
pronoun1,We,319,247,27,0,0,8008,13000,4340,289,-1309,-732
pronoun1,We,322,261,16,0,0,7616,12856,3572,370,-4085,-1609
pronoun1,We,273,173,16,0,0,7180,14936,1616,2035,-4741,-1727
pronoun1,We,208,191,48,0,0,7236,15076,580,-1257,-3289,-1522
pronoun1,We,224,198,70,0,0,7724,16256,-48,-239,-463,738
pronoun1,We,198,203,54,0,0,7772,15060,524,-2259,2651,1814
pronoun1,We,186,210,59,0,0,7816,14160,1632,-1682,4554,2207
pronoun1,We,211,230,55,0,0,8176,13840,2884,-369,4885,2156
pronoun1,We,243,257,64,0,0,7772,13504,4460,-513,3559,1669
pronoun1,We,222,195,19,0,0,7392,14964,5552,-798,-1158,360
pronoun1,We,290,207,30,0,0,7712,12636,4040,322,-4113,-821
pronoun1,We,218,186,0,0,0,7644,14068,2380,3035,-5384,-1965
pronoun1,We,305,149,0,0,0,7576,15132,512,562,-4483,-1849
pronoun1,We,268,176,43,0,0,7312,14752,316,-744,-2915,-1973
pronoun1,We,285,192,55,0,0,7728,15668,-204,-530,-435,-454
pronoun1,We,305,187,48,0,0,7620,15744,616,-1189,2194,1910
pronoun1,We,209,188,48,0,0,7848,14720,908,-1512,4266,2709
pronoun1,We,280,183,5,0,0,7776,13832,1852,-633,4953,2587
pronoun1,We,181,177,17,0,0,7444,13720,3364,648,4589,1812
pronoun1,We,205,192,0,0,0,6992,14200,4632,7,2132,974
pronoun1,We,209,199,7,0,0,7660,13916,3580,-1401,-2317,-825
pronoun1,We,256,199,45,0,0,7904,13744,3472,154,-3560,-1653
pronoun1,We,272,194,25,0,0,7236,13828,2220,-275,-4386,-2780
pronoun1,We,251,214,4,0,0,6964,15232,896,17,-4820,-2667
pronoun1,We,211,213,26,0,0,7460,15996,-468,-89,-1602,-1221
pronoun1,We,208,202,42,0,0,7316,15488,-268,314,3454,961
pronoun1,We,160,231,35,0,0,6468,14656,800,-541,5808,1444
pronoun1,We,147,234,34,0,0,6076,14628,2700,882,4700,2218
pronoun1,We,128,266,35,0,0,7012,14992,3408,-495,2720,2141
pronoun1,We,167,260,43,0,0,6908,13056,4656,80,185,-66
pronoun1,We,174,257,62,0,0,7308,14244,3292,-861,-2406,-1331
pronoun1,We,161,261,22,0,0,6656,14892,2212,1075,-4231,-2135
pronoun1,We,160,238,5,0,0,6724,16168,752,808,-3087,-1206
pronoun1,We,143,189,0,0,0,6608,15632,204,-975,-705,-100
pronoun1,We,165,162,0,0,0,6956,15660,380,-722,2510,2051
pronoun1,We,150,176,0,0,0,6880,14276,760,93,5194,2437
pronoun1,We,176,191,0,0,0,6228,14876,2468,-1229,5138,2330
pronoun1,We,148,198,0,0,0,5856,14216,3916,515,2533,1671
pronoun1,We,156,176,18,0,0,6956,14052,3884,84,-868,-181
pronoun1,We,171,192,23,0,0,7392,14352,3400,-584,-2390,-593
pronoun1,We,181,211,0,0,0,6908,13488,3228,-334,-3868,-2338
pronoun1,We,192,209,0,0,0,7504,15432,1368,532,-3062,-2444
pronoun1,We,144,155,0,0,0,7716,15892,1224,-1275,-449,-814
pronoun1,We,141,172,2,0,0,7112,16464,1452,-224,2658,2567
pronoun1,We,127,181,38,0,0,7044,14628,1972,31,4565,4143
pronoun1,We,146,201,16,0,0,6228,13472,2936,-1368,4167,2494
pronoun1,We,130,192,31,0,0,6744,14680,3672,715,2945,1176
pronoun1,We,144,223,46,0,0,7052,13748,3796,-846,1586,173
pronoun1,We,148,208,16,0,0,6868,14668,4328,35,294,-461
pronoun1,We,147,215,28,0,0,6300,13592,4580,-691,-2973,-740
pronoun1,We,166,208,0,0,0,6380,15012,3184,964,-4921,-2110
pronoun1,We,181,214,27,0,0,7164,14792,1304,-1144,-5004,-1279
pronoun1,We,190,189,0,0,0,7700,15552,1252,-568,-3049,1256
pronoun1,We,173,188,17,0,0,8212,15276,1368,-2530,-460,3334
pronoun1,We,147,192,0,0,0,8224,13820,2196,-2001,1983,3686
pronoun1,We,188,196,0,0,0,8604,12992,3148,-874,3038,3277
pronoun1,We,192,192,16,0,0,9004,13176,4136,-685,3379,1786
pronoun1,We,147,183,12,0,0,8532,12392,5276,-1624,1892,30
pronoun1,We,135,179,0,0,0,9012,15156,4756,254,-658,771
pronoun1,We,179,192,0,0,0,8692,12536,5172,-820,-1000,506
pronoun1,We,179,210,0,0,0,8136,13180,4928,-1032,-3251,-1379
pronoun1,We,108,146,16,0,0,8304,13620,4388,-1483,-5113,-2064
pronoun1,We,162,204,37,0,0,8700,14412,3480,-2505,-5296,-1257
pronoun1,We,161,150,0,0,0,8700,14684,2584,-1782,-5131,1431
pronoun1,We,174,118,2,0,0,9608,14256,2180,-1616,-2984,3449
pronoun1,We,167,169,2,0,0,10248,12684,2020,-1012,805,2968
pronoun1,We,192,157,16,0,0,10352,12264,2848,-164,4109,1949
pronoun1,We,219,183,0,0,0,10368,12020,4200,1310,4927,1785
pronoun1,We,195,177,5,0,0,9876,13312,5632,392,4073,1515
pronoun1,We,226,153,27,0,0,10176,10772,5496,1062,2252,556
pronoun1,We,242,169,0,0,0,9608,12384,5948,1255,785,-208
pronoun1,We,222,157,17,0,0,9696,12428,5956,-1491,-3212,-320
pronoun1,We,196,128,0,0,0,9236,12296,4644,-1930,-5180,-900
pronoun1,We,233,144,42,0,0,9264,12468,3824,-544,-7029,-1512
pronoun1,We,272,139,11,0,0,10016,13912,2660,-2072,-6736,-977
pronoun1,We,347,112,0,0,0,11296,13208,928,215,-2600,1335
pronoun1,We,295,139,0,0,0,11012,12764,1088,-89,2301,2064
pronoun1,We,287,159,0,0,0,10940,12080,2368,1933,5086,2291
pronoun1,We,309,145,43,0,0,11348,11592,2888,3374,6017,2011
pronoun1,We,317,191,0,0,0,10584,11704,4976,3525,5736,739
pronoun1,We,332,180,0,0,0,9824,11420,6400,2513,-517,-503
pronoun1,We,333,168,0,0,0,10632,11692,3972,-2494,-2415,-83
pronoun1,We,324,139,0,0,0,10688,12548,3724,-741,-3843,-967
pronoun1,We,320,157,0,0,0,10392,12504,2648,-1729,-4096,-1053
pronoun1,We,323,144,0,0,0,10432,12996,2028,-968,-4135,-1015
pronoun1,We,336,182,0,0,0,10656,13940,1104,-1595,-2708,513
pronoun1,We,304,192,2,0,0,10788,13196,888,-1035,-324,1723
pronoun1,We,299,125,1,0,0,10952,12252,1536,-191,1940,1903
pronoun1,We,273,158,0,0,0,10988,12160,2116,1148,2797,1574
pronoun1,We,334,134,0,0,0,11448,11440,2316,1882,3362,912
pronoun1,We,337,165,4,0,0,10932,12148,3412,2843,3993,-182
pronoun1,We,312,181,45,0,0,9964,12848,4568,4491,709,-105
pronoun1,We,343,176,0,0,0,10856,12696,3412,-3174,-1979,1126
pronoun1,We,307,146,0,0,0,10616,12360,2796,-2697,-3590,551
pronoun1,We,317,174,0,0,0,10708,12288,2576,-2989,-4820,284
pronoun1,We,336,176,10,0,0,11332,12284,2024,-2797,-5236,1232
pronoun1,We,390,198,21,0,0,12080,11864,908,-1891,-3556,2637
pronoun1,We,360,193,23,0,89,12640,11764,324,-847,-678,2367
pronoun1,We,385,211,32,0,96,12580,10996,780,123,2253,1842
pronoun1,We,375,202,23,0,0,12668,10864,2012,1001,3995,2600
pronoun1,We,368,144,0,0,0,12636,10352,2340,2169,3621,2173
pronoun1,We,358,240,0,0,16,12680,10544,2784,2792,3865,1418
pronoun1,We,329,236,0,0,87,11768,9444,5164,2632,717,-97
pronoun1,We,397,263,0,0,98,12872,10912,2392,-437,-844,-298
pronoun1,We,395,268,0,0,85,12016,10468,3260,-3000,-2968,-135
pronoun1,We,356,288,0,0,122,12812,11356,2296,-3305,-4373,-66
