session_id,label,flex1,flex2,flex3,flex4,flex5,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
gesture1,Hello,0,0,0,0,0,8324,2824,16436,-3276,-12711,-6336
gesture1,Hello,0,0,0,0,0,8788,2880,15748,-3840,-13319,-6477
gesture1,Hello,0,0,0,0,0,9128,3072,15172,-4504,-13855,-6584
gesture1,Hello,0,0,0,0,0,9420,3304,14368,-5154,-14251,-6743
gesture1,Hello,0,0,0,0,0,9868,3112,13632,-5714,-14498,-6838
gesture1,Hello,0,0,0,0,0,10240,2952,12760,-6251,-14602,-7028
gesture1,Hello,0,0,0,0,0,10580,2968,12164,-6624,-14580,-7223
gesture1,Hello,0,0,0,0,0,10820,2840,11456,-6910,-14517,-7361
gesture1,Hello,0,0,0,0,0,11216,2620,10872,-6930,-14310,-7556
gesture1,Hello,0,0,0,0,0,11500,2416,10156,-6817,-14099,-7761
gesture1,Hello,0,0,0,0,0,11944,2272,9696,-6700,-13862,-7955
gesture1,Hello,0,0,0,0,0,12032,2232,9224,-6444,-13580,-8152
gesture1,Hello,0,0,0,0,0,12140,2268,8712,-6181,-13308,-8359
gesture1,Hello,0,0,0,0,0,12240,2136,8056,-5970,-12985,-8662
gesture1,Hello,0,0,0,0,0,12692,2240,7632,-5580,-12644,-8977
gesture1,Hello,0,0,0,0,0,12952,2272,7232,-5048,-12319,-9219
gesture1,Hello,0,0,0,0,0,13236,2572,6908,-4225,-11934,-9334
gesture1,Hello,0,0,0,0,0,13692,2900,6424,-3315,-11543,-9253
gesture1,Hello,0,0,0,0,0,13896,3172,6132,-2481,-11028,-9008
gesture1,Hello,0,0,0,0,0,14244,3540,5972,-1951,-10480,-8644
gesture1,Hello,0,0,0,0,0,14508,4052,5600,-1494,-9982,-8342
gesture1,Hello,0,0,0,0,0,14944,4296,5348,-1148,-9378,-8016
gesture1,Hello,0,0,0,0,0,15732,4840,4864,-750,-8755,-7743
gesture1,Hello,0,0,0,0,0,16712,5232,4752,-404,-7987,-7225
gesture1,Hello,0,0,0,0,0,17588,5688,4556,-159,-7142,-6526
gesture1,Hello,0,0,0,0,0,18328,6068,4440,197,-6220,-5649
gesture1,Hello,0,0,0,0,0,18928,6344,4760,392,-5221,-4687
gesture1,Hello,0,0,0,0,0,19240,6576,4536,607,-4238,-3640
gesture1,Hello,0,0,0,0,0,19564,6936,4344,670,-3188,-2534
gesture1,Hello,0,0,0,0,0,19760,7196,4076,629,-2136,-1470
gesture1,Hello,0,0,0,0,0,19836,7508,4212,531,-1100,-420
gesture1,Hello,0,0,0,0,0,19664,7848,4180,520,-82,679
gesture1,Hello,0,0,0,0,0,19284,7752,4232,560,859,1733
gesture1,Hello,0,0,0,0,0,19120,7624,4208,647,1816,2759
gesture1,Hello,0,0,0,0,0,18812,7340,4316,661,2695,3761
gesture1,Hello,0,0,0,0,0,18472,6988,4480,674,3594,4739
gesture1,Hello,0,0,0,0,0,18300,6728,4672,736,4590,5721
gesture1,Hello,0,0,0,0,0,17900,6312,4816,816,5565,6478
gesture1,Hello,0,0,0,0,0,17412,6044,4988,881,6480,7043
gesture1,Hello,0,0,0,0,0,17000,5596,5136,874,7315,7581
gesture1,Hello,0,0,0,0,0,16480,5232,5396,930,8074,8078
gesture1,Hello,0,0,0,0,0,16008,4968,5452,1065,8748,8465
gesture1,Hello,0,0,0,0,0,15568,4580,6048,1260,9396,8794
gesture1,Hello,0,0,0,0,0,15148,4112,6144,1546,10032,9109
gesture1,Hello,0,0,0,0,0,14764,4064,6492,1865,10603,9349
gesture1,Hello,0,0,0,0,0,14188,3948,6976,2090,11094,9583
gesture1,Hello,0,0,0,0,0,13760,3784,7372,2164,11564,9866
gesture1,Hello,0,0,0,0,0,13360,3692,7676,2225,11958,10114
gesture1,Hello,0,0,0,0,0,13020,3488,7976,2284,12170,10260
gesture1,Hello,0,0,0,0,0,12740,3312,8360,2297,12223,10328
gesture1,Hello,0,0,0,0,0,12352,2940,8956,2397,12221,10299
gesture1,Hello,0,0,0,0,0,11688,2752,9280,2514,12224,10274
gesture1,Hello,0,0,0,0,0,11600,2580,9648,2678,12214,10216
gesture1,Hello,0,0,0,0,0,11192,2368,9848,2738,12575,10166
gesture1,Hello,0,0,0,0,0,11056,1984,10152,2692,12410,10017
gesture1,Hello,0,0,0,0,0,10960,1844,10684,2795,12683,9815
gesture1,Hello,0,0,0,0,0,10492,1756,11068,2945,12515,9637
gesture1,Hello,0,0,0,0,0,10096,1484,11360,3162,12655,9461
gesture1,Hello,0,0,0,0,0,9760,1244,11732,3415,12274,9179
gesture1,Hello,0,0,0,0,0,9464,1012,12140,3699,12195,8769
gesture1,Hello,0,0,0,0,0,9232,760,12468,3794,12167,8279
gesture1,Hello,0,0,0,0,0,8972,632,13016,3807,12025,7784
gesture1,Hello,0,0,0,0,0,8748,512,13520,3717,11539,7326
gesture1,Hello,0,0,0,0,0,8384,428,14440,3477,11125,6777
gesture1,Hello,0,0,0,0,0,8240,428,15176,3077,10598,6180
gesture1,Hello,0,0,0,0,0,7832,396,16128,2568,9918,5522
gesture1,Hello,0,0,0,0,0,7388,176,16848,1859,9065,4876
gesture1,Hello,0,0,0,0,0,6908,0,17652,987,8023,4145
gesture1,Hello,0,0,0,0,0,6508,-84,18520,23,6836,3419
gesture1,Hello,0,0,0,0,0,6020,-360,19436,-918,5326,2648
gesture1,Hello,0,0,0,0,0,5348,-560,20320,-1848,3591,1794
gesture1,Hello,0,0,0,0,0,5312,-636,20448,-2665,1781,842
gesture1,Hello,0,0,0,0,0,5488,-1040,20596,-3204,-116,-181
gesture1,Hello,0,0,0,0,0,5800,-1504,20432,-3395,-1929,-1212
gesture1,Hello,0,0,0,0,0,6100,-1812,20116,-3097,-3652,-2205
gesture1,Hello,0,0,0,0,0,6560,-2216,19692,-2567,-5209,-3117
gesture1,Hello,0,0,0,0,0,6952,-2108,19420,-1752,-6695,-3784
gesture1,Hello,0,0,0,0,0,6992,-1832,18964,-941,-8092,-4434
gesture1,Hello,0,0,0,0,0,7368,-1132,18528,-459,-9448,-4874
gesture1,Hello,0,0,0,0,0,7740,-344,17992,-400,-10643,-5308
gesture1,Hello,0,0,0,0,0,8232,464,17292,-619,-11609,-5733
gesture1,Hello,0,0,0,0,0,8624,1052,16728,-1187,-12443,-6233
gesture1,Hello,0,0,0,0,0,8984,1576,15964,-1863,-13107,-6638
gesture1,Hello,0,0,0,0,0,9496,1864,15208,-2539,-13565,-6915
gesture1,Hello,0,0,0,0,0,9824,2056,14804,-3271,-13864,-7034
gesture1,Hello,0,0,0,0,0,10000,2116,14000,-3945,-14017,-7116
gesture1,Hello,0,0,0,0,0,10116,2180,13252,-4565,-14184,-7168
gesture1,Hello,0,0,0,0,0,10580,2092,12392,-5088,-14251,-7245
gesture1,Hello,0,0,0,0,0,10972,2172,11572,-5437,-14216,-7300
gesture1,Hello,0,0,0,0,0,11460,2044,11012,-5665,-14008,-7351
gesture1,Hello,0,0,0,0,0,11824,2024,10320,-5778,-13726,-7440
gesture1,Hello,0,0,0,0,0,12032,1808,9956,-5740,-13341,-7599
gesture1,Hello,0,0,0,0,0,12372,1748,9268,-5583,-12934,-7768
gesture1,Hello,0,0,0,0,0,12376,1492,8932,-5220,-12534,-7942
gesture1,Hello,0,0,0,0,0,12200,1504,8480,-4789,-12204,-8004
gesture1,Hello,0,0,0,0,0,12628,1600,7864,-4368,-11900,-8089
gesture1,Hello,0,0,0,0,0,13068,2036,7504,-4094,-11536,-8027
gesture1,Hello,0,0,0,0,0,13288,2308,7120,-3966,-11081,-8046
gesture1,Hello,0,0,0,0,0,13488,2616,6824,-3734,-10566,-8146
gesture1,Hello,0,0,0,0,0,13680,2856,6360,-3578,-10082,-8295
gesture1,Hello,0,0,0,0,0,13740,3000,6332,-3406,-9621,-8426
gesture1,Hello,0,0,0,0,0,13732,3072,6216,-3256,-9144,-8412
gesture1,Hello,0,0,0,0,0,14052,3236,5920,-3155,-8833,-8335
gesture1,Hello,0,0,0,0,0,14332,3612,5760,-3129,-8545,-8245
gesture1,Hello,0,0,0,0,0,14604,3848,5204,-3119,-8191,-8185
gesture1,Hello,0,0,0,0,0,15008,4080,4900,-2878,-7891,-8175
gesture1,Hello,0,0,0,0,0,15684,4256,4572,-2505,-7539,-8173
gesture1,Hello,0,0,0,0,0,16280,4448,4420,-2078,-7162,-7957
gesture1,Hello,0,0,0,0,0,17012,4484,4060,-1568,-6611,-7624
gesture1,Hello,0,0,0,0,0,17960,4760,3976,-970,-5940,-7048
gesture1,Hello,0,0,0,0,0,18896,5052,3992,-337,-5113,-6255
gesture1,Hello,0,0,0,0,0,19668,5328,3700,323,-4304,-5320
gesture1,Hello,0,0,0,0,0,20072,5828,3556,976,-3451,-4361
